topo, k, flow_count, threshold, cm_avg, cm_hit, cm_time, sv_avg, sv_hit, sv_time, cs_avg, cs_hit, cs_time, cm_min, cm_max, sv_min, sv_max, cs_min, cs_max
fattree8,1500,200000,0.95 ,0.141435191363111,9303,517.3726,0.550288123006567,9367,1259048.6802,0.366073879806455,9934,1402.7292,0 , 1 ,0 , 1 ,0 , 4.09231977093243 ,
fattree8,2000,200000,0.99 ,0.06288335741876,1805,402.0657,0.434980638051238,1831,1543887.3799,0.157015576104119,1987,1503.9986,0 , 1 ,0 , 1 ,0 , 1.58628225603093 ,
fattree8,2000,200000,0.98 ,0.0704279051021072,3610,402.0657,0.436702107089382,3672,1543887.3799,0.176553372171067,3969,1503.9986,0 , 1 ,0 , 1 ,0 , 1.84776012525336 ,
fattree8,2000,200000,0.95 ,0.084516864854254,9025,402.0657,0.438879453691379,9162,1543887.3799,0.247497272570761,9917,1503.9986,0 , 1 ,0 , 1 ,0 , 4.26938421345506 ,
fattree8,100,300000,0.99 ,0.892122706848089,3000,346.922,2688351168.9844,2991,126238.5997,1.13234264102688,3000,952.5326,0.000251291852481065 , 1 ,0 , 4040136051495.3 ,0.0308890816004412 , 12.8560324264218 ,
fattree8,100,300000,0.98 ,0.901478346130888,6000,346.922,4109200434.3581,5986,126238.5997,1.14287197665065,6000,952.5326,0.000251291852481065 , 1 ,0 , 4760400943916.05 ,0.0118051718303585 , 20.3388552471772 ,
fattree8,100,300000,0.95 ,0.915117686959941,15000,346.922,12372960101.4417,14969,126238.5997,1.17592122136055,15000,952.5326,0.000148279952550415 , 1 ,0 , 14489308281422 ,0.0068368748941296 , 26.2847431363483 ,
fattree8,200,300000,0.99 ,0.8034913121543,3000,384.0207,0.949829892480609,2986,269983.7402,1.09578432705905,3000,962.5589,1.8800738493008E-05 , 1 ,0 , 1 ,0.00134260869565217 , 11.7902524669912 ,
fattree8,200,300000,0.98 ,0.816795787957126,6000,384.0207,0.950307170504632,5968,269983.7402,1.12181816272356,6000,962.5589,1.8800738493008E-05 , 1 ,0 , 1 ,0.00134260869565217 , 12.1547496671047 ,
fattree8,200,300000,0.95 ,0.833884562878308,15000,384.0207,0.951983676187726,14926,269983.7402,1.17431697234395,15000,962.5589,1.8800738493008E-05 , 1 ,0 , 1 ,0.00134260869565217 , 21.9891430936939 ,
