sketch,topo,flow,k,threshold,avg,min,max,hit,hitrate,sv_avg,sv_min,sv_max,sv_hit,sv_hitrate
CountMax ,fattree6 ,30000,1000,0.3,0.779696381,0,1,17797,0.84747619,0.586649775,0,1,14542,0.69247619
CountMax ,fattree6 ,30000,1000,0.5,0.866629533,0,1,13913,0.927533333,0.736429055,0,1,13074,0.8716
CountMax ,fattree6 ,30000,1000,0.7,0.944869907,0,1,8866,0.985111111,0.924022326,0,1,8973,0.997
CountMax ,fattree6 ,30000,1000,0.8,0.96842147,0,1,5973,0.9955,0.963037502,0,1,5983,0.997166667
CountMax ,fattree6 ,30000,1000,0.9,0.983395726,0.119825708,1,2999,0.999666667,0.97977515,0,1,2991,0.997
CountMax ,fattree6 ,30000,1000,0.99,0.99227404,0.671156779,1,300,1,0.9858286,0,1,299,0.996666667
CountMax ,fattree6 ,30000,2000,0.3,0.955382378,0,1,20452,0.973904762,0.945746888,0,1,20675,0.98452381
CountMax ,fattree6 ,30000,2000,0.5,0.979850127,0,1,14872,0.991466667,0.988464603,0.43537415,1,15000,1
CountMax ,fattree6 ,30000,2000,0.7,0.992325009,0,1,8983,0.998111111,0.997993476,0.931285368,1,9000,1
CountMax ,fattree6 ,30000,2000,0.8,0.9965341,0,1,5998,0.999666667,0.999048491,0.976646033,1,5999,0.999833333
CountMax ,fattree6 ,30000,2000,0.9,0.998198155,0.49065114,1,2999,0.999666667,0.999504956,0.992120875,1,2999,0.999666667
CountMax ,fattree6 ,30000,2000,0.99,0.999313933,0.950701803,1,300,1,0.99968619,0.997079866,1,300,1
CountMax ,fattree6 ,30000,4000,0.3,0.995921031,0,1,20958,0.998,1,1,1,21000,1
CountMax ,fattree6 ,30000,4000,0.5,0.998679375,0,1,14994,0.9996,1,1,1,15000,1
CountMax ,fattree6 ,30000,4000,0.7,0.999620133,0.507546115,1,9000,1,1,1,1,9000,1
CountMax ,fattree6 ,30000,4000,0.8,0.999766709,0.773624824,1,5999,0.999833333,1,1,1,5999,0.999833333
CountMax ,fattree6 ,30000,4000,0.9,0.999786451,0.773624824,1,2999,0.999666667,1,1,1,2999,0.999666667
CountMax ,fattree6 ,30000,4000,0.99,0.99996693,0.992915494,1,300,1,1,1,1,300,1
CountMax ,fattree6 ,30000,7000,0.3,0.999359249,0,1,20993,0.999666667,1,1,1,21000,1
CountMax ,fattree6 ,30000,7000,0.5,0.999611222,0,1,14997,0.9998,1,1,1,15000,1
CountMax ,fattree6 ,30000,7000,0.7,0.999830894,0,1,8999,0.999888889,1,1,1,9000,1
CountMax ,fattree6 ,30000,7000,0.8,0.999923514,0.761522672,1,5999,0.999833333,1,1,1,5999,0.999833333
CountMax ,fattree6 ,30000,7000,0.9,0.999993763,0.992671308,1,2999,0.999666667,1,1,1,2999,0.999666667
CountMax ,fattree6 ,30000,7000,0.99,0.999999049,0.999749786,1,300,1,1,1,1,300,1
CountMax ,fattree6 ,30000,10000,0.3,0.99984866,0,1,20998,0.999904762,1,1,1,21000,1
CountMax ,fattree6 ,30000,10000,0.5,0.999998194,0.987124464,1,15000,1,1,1,1,15000,1
CountMax ,fattree6 ,30000,10000,0.7,0.999998585,0.991876523,1,9000,1,1,1,1,9000,1
CountMax ,fattree6 ,30000,10000,0.8,0.999999832,0.999679487,1,5999,0.999833333,1,1,1,5999,0.999833333
CountMax ,fattree6 ,30000,10000,0.9,0.99999997,0.999910642,1,2999,0.999666667,1,1,1,2999,0.999666667
CountMax ,fattree6 ,30000,10000,0.99,1,1,1,300,1,1,1,1,300,1
CountMax ,fattree6 ,30000,50000,0.3,1,1,1,21000,1,1,1,1,21000,1
CountMax ,fattree6 ,30000,50000,0.5,1,1,1,15000,1,1,1,1,15000,1
CountMax ,fattree6 ,30000,50000,0.7,1,1,1,9000,1,1,1,1,9000,1
CountMax ,fattree6 ,30000,50000,0.8,1,1,1,5999,0.999833333,1,1,1,5999,0.999833333
